year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,brand
2015,1050000,120000,Diesel,Individual,Manual,First Owner,15.650602409638555,2494.0,100.6,200.0,7.0,Toyota
2018,890000,29000,Petrol,Dealer,Automatic,First Owner,23.513513513513512,1197.0,81.86,117.0,5.0,Hyundai
2016,650000,30000,Diesel,Individual,Manual,First Owner,27.156626506024097,1396.0,88.73,219.7,5.0,Hyundai
2017,450000,90000,Petrol,Individual,Manual,First Owner,32.21621621621622,1199.0,84.0,114.0,5.0,Tata
2018,3000000,35000,Diesel,Individual,Manual,First Owner,17.156626506024097,2755.0,174.5,420.0,7.0,Toyota
2004,100000,40000,Diesel,Individual,Manual,Second Owner,20.24096385542169,1405.0,62.0,122.54901960784315,5.0,Tata
2008,70000,100000,Diesel,Individual,Manual,First Owner,20.24096385542169,1405.0,62.0,122.54901960784315,5.0,Tata
2016,300000,30000,Petrol,Individual,Manual,First Owner,34.013513513513516,799.0,53.3,72.0,5.0,Renault
2019,5200000,10000,Diesel,Dealer,Automatic,First Owner,21.83132530120482,1995.0,190.0,400.0,5.0,BMW
2016,819999,39000,Diesel,Dealer,Manual,First Owner,23.698795180722893,1582.0,126.2,259.9,5.0,Hyundai
2019,700000,19000,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.86,117.0,5.0,Hyundai
2014,325000,52442,Petrol,Trustmark Dealer,Manual,Second Owner,25.0,1198.0,86.8,109.0,5.0,Honda
2009,150000,75000,Petrol,Individual,Manual,Third Owner,25.54054054054054,1061.0,67.0,84.0,5.0,Maruti
2019,750000,3100,Petrol,Individual,Automatic,First Owner,24.594594594594593,1199.0,88.7,110.0,5.0,Honda
2016,1000000,70000,Diesel,Individual,Manual,First Owner,29.542168674698797,1248.0,88.5,200.0,7.0,Maruti
2016,750000,100000,Diesel,Individual,Manual,First Owner,25.060240963855424,1461.0,64.1,160.0,5.0,Mahindra
2010,300000,120000,Diesel,Individual,Manual,First Owner,16.867469879518072,2498.0,112.0,260.0,7.0,Mahindra
2018,570000,25000,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.83,114.7,5.0,Hyundai
2003,65000,90000,Petrol,Individual,Manual,Fourth & Above Owner,21.756756756756758,796.0,37.0,59.0,4.0,Maruti
2019,615000,10000,Petrol,Individual,Manual,First Owner,28.662162162162165,1197.0,81.8,113.0,5.0,Maruti
2014,400000,110000,Diesel,Individual,Manual,Second Owner,24.26506024096386,1498.0,88.8,230.0,5.0,Volkswagen
2010,150000,225000,Diesel,Individual,Manual,Third Owner,16.867469879518072,1948.0,90.0,190.0,9.0,Tata
2009,142000,70000,Petrol,Individual,Manual,Second Owner,25.54054054054054,1061.0,67.0,84.0,5.0,Maruti
2016,375000,61173,Diesel,Dealer,Manual,First Owner,33.277108433734945,793.0,47.0,125.0,5.0,Maruti
2013,470000,150000,Diesel,Individual,Manual,First Owner,28.19277108433735,1248.0,74.0,190.0,5.0,Maruti
2011,200000,50000,Diesel,Individual,Manual,Second Owner,20.481927710843376,1405.0,71.0,135.0,5.0,Tata
2014,1750000,30000,Diesel,Individual,Manual,Second Owner,15.66265060240964,2982.0,168.5,343.0,7.0,Toyota
2018,680000,26000,Diesel,Individual,Manual,First Owner,30.602409638554217,1186.0,73.97,190.24,5.0,Hyundai
2017,440000,35000,Petrol,Individual,Manual,First Owner,27.716216216216218,998.0,67.04,90.0,5.0,Maruti
2011,300000,120000,Diesel,Individual,Manual,Second Owner,13.93975903614458,2179.0,138.1,320.0,7.0,Tata
2016,1165000,50000,Diesel,Individual,Manual,First Owner,19.27710843373494,1997.0,140.0,320.0,7.0,Mahindra
2007,60000,62000,Petrol,Individual,Manual,Second Owner,21.756756756756758,796.0,37.0,59.0,4.0,Maruti
2017,610000,14000,Petrol,Individual,Manual,First Owner,25.810810810810814,1197.0,82.0,114.0,5.0,Hyundai
2017,1450000,7000,Petrol,Dealer,Automatic,Second Owner,19.635135135135133,1794.0,138.1,173.0,5.0,Toyota
2014,375000,80000,Petrol,Individual,Manual,First Owner,27.567567567567565,1197.0,81.8,113.0,5.0,Maruti
2017,720000,80000,Diesel,Individual,Manual,First Owner,29.542168674698797,1248.0,88.5,200.0,7.0,Maruti
2011,165000,90000,Petrol,Individual,Manual,First Owner,28.270270270270274,998.0,67.1,90.0,5.0,Maruti
2014,450000,76000,Diesel,Individual,Manual,First Owner,31.084337349397593,1498.0,98.6,200.0,5.0,Honda
2012,160000,110000,Petrol,Individual,Manual,First Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2015,950000,188000,Diesel,Individual,Manual,First Owner,19.27710843373494,2179.0,140.0,330.0,7.0,Mahindra
2016,270000,35000,Petrol,Individual,Manual,First Owner,30.729729729729726,796.0,47.3,69.0,5.0,Maruti
2016,600000,150000,Diesel,Individual,Manual,First Owner,32.036144578313255,1248.0,74.0,190.0,5.0,Maruti
2008,375000,136500,Diesel,Individual,Manual,Fourth & Above Owner,15.301204819277109,2609.0,120.0,290.0,8.0,Mahindra
2016,561000,30000,Diesel,Individual,Manual,First Owner,32.036144578313255,1248.0,74.0,190.0,5.0,Maruti
2003,55599,36088,Petrol,Individual,Manual,First Owner,21.756756756756758,796.0,37.0,59.0,4.0,Maruti
2016,298000,70000,Petrol,Individual,Manual,First Owner,32.36486486486486,998.0,67.05,90.0,5.0,Maruti
2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,20.21686746987952,1995.0,190.0,400.0,5.0,BMW
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,19.324324324324326,1598.0,103.5,153.0,5.0,Skoda
2012,400000,90000,Diesel,Individual,Manual,First Owner,25.02409638554217,1248.0,88.76,200.0,7.0,Maruti
2012,380000,100000,Diesel,Individual,Manual,Second Owner,27.59036144578313,1248.0,74.0,190.0,5.0,Maruti
2012,240000,90000,Diesel,Individual,Manual,Second Owner,27.951807228915662,1248.0,73.94,190.0,5.0,Maruti
2016,380000,39000,Petrol,Individual,Manual,Third Owner,27.716216216216218,998.0,67.04,90.0,5.0,Maruti
2011,250000,70000,Petrol,Individual,Manual,First Owner,27.513513513513512,1197.0,78.9,111.7,5.0,Hyundai
2016,475000,110000,Diesel,Individual,Manual,First Owner,27.951807228915662,1248.0,73.94,190.0,5.0,Maruti
2016,475000,45629,Petrol,Trustmark Dealer,Automatic,First Owner,25.54054054054054,1197.0,81.86,113.75,5.0,Hyundai
2014,509999,120000,Diesel,Individual,Manual,First Owner,19.228915662650603,2523.0,62.1,195.0,7.0,Mahindra
2016,950000,45000,Diesel,Individual,Manual,First Owner,29.27710843373494,1248.0,88.5,200.0,5.0,Maruti
2017,650000,18816,Petrol,Dealer,Manual,First Owner,22.972972972972972,1198.0,73.75,110.0,5.0,Volkswagen
2016,250000,22000,Petrol,Individual,Manual,First Owner,34.013513513513516,799.0,53.3,72.0,5.0,Renault
2015,600000,80000,Petrol,Individual,Automatic,First Owner,25.675675675675677,1199.0,88.7,110.0,5.0,Honda
2015,550000,25000,Petrol,Individual,Manual,First Owner,27.567567567567565,1197.0,81.8,113.0,5.0,Maruti
2007,125000,120000,Petrol,Individual,Manual,Third Owner,20.27027027027027,1586.0,104.68,145.0,5.0,Maruti
2017,1150000,63309,Diesel,Dealer,Manual,First Owner,23.698795180722893,1582.0,126.2,259.9,5.0,Hyundai
2018,700000,30000,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.83,114.7,5.0,Hyundai
2019,6523000,23600,Petrol,Dealer,Automatic,Test Drive Car,20.62162162162162,1798.0,187.74,320.0,5.0,Audi
2012,450000,370000,Diesel,Individual,Manual,First Owner,14.518072289156628,2179.0,120.0,290.0,9.0,Mahindra
2016,1700000,110000,Diesel,Individual,Manual,Second Owner,16.481927710843372,2393.0,147.8,343.0,7.0,Toyota
2013,500000,70000,Diesel,Individual,Manual,First Owner,19.228915662650603,2523.0,63.0,180.0,9.0,Mahindra
2016,850000,58000,Diesel,Individual,Manual,First Owner,23.698795180722893,1582.0,126.2,259.9,5.0,Hyundai
2015,500000,125000,Diesel,Individual,Manual,First Owner,28.42168674698795,1364.0,67.05,170.0,5.0,Toyota
2012,165000,60000,CNG,Individual,Manual,Second Owner,30.46,796.0,47.3,69.0,5.0,Maruti
2015,250000,70000,Petrol,Individual,Manual,First Owner,30.729729729729726,796.0,47.3,69.0,5.0,Maruti
2008,128000,19000,Petrol,Individual,Manual,First Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2014,1019999,60000,Diesel,Individual,Manual,Second Owner,15.650602409638555,2494.0,100.6,200.0,7.0,Toyota
2012,415000,90000,Diesel,Individual,Manual,First Owner,,,,,,Toyota
2007,245000,121000,Diesel,Individual,Manual,Second Owner,21.80722891566265,1493.0,110.0,235.29411764705884,5.0,Hyundai
2014,390000,78000,Diesel,Individual,Manual,First Owner,14.072289156626507,2498.0,112.0,260.0,7.0,Mahindra
2015,540000,35000,Petrol,Dealer,Manual,Second Owner,23.91891891891892,1497.0,113.42,144.15,5.0,Hyundai
2014,465000,90000,Diesel,Individual,Manual,First Owner,28.19277108433735,1248.0,74.0,190.0,5.0,Maruti
2019,2150000,25000,Diesel,Dealer,Manual,First Owner,19.638554216867472,1956.0,170.63,350.0,5.0,Jeep
2012,375000,90000,Diesel,Individual,Manual,First Owner,24.746987951807228,1598.0,103.6,250.0,5.0,Volkswagen
2008,160000,70000,Petrol,Individual,Manual,Fourth & Above Owner,26.62162162162162,796.0,35.0,59.80392156862745,8.0,Maruti
2012,244000,38000,Petrol,Individual,Manual,First Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,30.22972972972973,2487.0,214.56,202.0,5.0,Lexus
2013,1090000,151000,Diesel,Dealer,Manual,First Owner,16.265060240963855,2477.0,175.56,400.0,7.0,Mitsubishi
2016,240000,50000,Petrol,Individual,Manual,First Owner,30.729729729729726,796.0,47.3,69.0,5.0,Maruti
2013,345000,40000,Diesel,Individual,Manual,First Owner,26.3855421686747,1396.0,88.8,219.7,5.0,Hyundai
2016,300000,25000,Petrol,Individual,Manual,First Owner,34.013513513513516,799.0,53.3,72.0,5.0,Renault
2013,250000,100000,Diesel,Individual,Manual,First Owner,28.397590361445786,1396.0,70.0,140.0,5.0,Tata
2010,200000,120000,Diesel,Individual,Manual,First Owner,24.096385542168676,1399.0,68.0,160.0,5.0,Ford
2018,570000,20000,Petrol,Individual,Manual,First Owner,25.54054054054054,1197.0,81.86,113.75,5.0,Hyundai
2014,420000,120000,Diesel,Individual,Manual,First Owner,28.42168674698795,1364.0,67.04,170.0,5.0,Toyota
2017,1100000,26000,Petrol,Individual,Automatic,First Owner,24.324324324324326,1497.0,117.3,145.0,5.0,Honda
2011,225000,90000,Diesel,Individual,Manual,First Owner,24.746987951807228,1598.0,103.6,250.0,5.0,Volkswagen
2014,500000,120000,Diesel,Individual,Manual,Second Owner,28.19277108433735,1248.0,74.0,190.0,5.0,Maruti
2010,175000,60000,Diesel,Individual,Manual,First Owner,21.686746987951807,1248.0,75.0,190.0,5.0,Tata
2016,1025000,22522,Diesel,Dealer,Manual,First Owner,19.27710843373494,2179.0,140.0,330.0,7.0,Mahindra
2017,650000,44000,Diesel,Dealer,Manual,First Owner,28.49397590361446,1248.0,88.5,200.0,5.0,Maruti
2010,105000,120000,Diesel,Individual,Manual,Second Owner,21.686746987951807,1248.0,75.0,190.0,5.0,Tata
2013,219000,50000,Petrol,Individual,Manual,Second Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2013,316000,140000,Diesel,Individual,Manual,First Owner,25.32530120481928,1248.0,88.76,200.0,5.0,Tata
2017,450000,20000,Petrol,Individual,Manual,First Owner,25.54054054054054,1197.0,81.86,113.75,5.0,Hyundai
2007,300000,110000,Petrol,Individual,Manual,Second Owner,16.216216216216218,2092.0,127.0,196.07843137254903,7.0,Tata
2010,160000,60000,Petrol,Individual,Manual,Third Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2016,220000,90000,Petrol,Individual,Manual,First Owner,34.013513513513516,799.0,53.3,72.0,5.0,Renault
2015,445000,40200,Diesel,Dealer,Manual,First Owner,25.30120481927711,1498.0,74.96,210.0,7.0,Mahindra
2018,300000,15000,Petrol,Individual,Manual,Second Owner,33.37837837837838,796.0,47.3,69.0,5.0,Maruti
2007,65000,120000,Diesel,Individual,Manual,Third Owner,21.542168674698797,1396.0,52.8,85.0,5.0,Tata
2007,275000,200000,Diesel,Individual,Manual,Second Owner,20.000000000000004,1896.0,122.4,209.80392156862746,5.0,Skoda
2015,850000,173000,Diesel,Individual,Manual,First Owner,19.27710843373494,2179.0,140.0,330.0,7.0,Mahindra
2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,16.265060240963855,2987.0,282.0,490.0,5.0,Mercedes-Benz
2013,475000,48000,Diesel,Dealer,Manual,Second Owner,26.144578313253014,1498.0,98.96,215.0,5.0,Ford
2011,340000,60000,Petrol,Individual,Automatic,Third Owner,22.905405405405403,1197.0,78.9,111.8,5.0,Hyundai
2019,1450000,10000,Diesel,Individual,Manual,First Owner,20.843373493975907,1497.0,121.0,300.0,7.0,Mahindra
2003,110000,83000,Petrol,Individual,Manual,Second Owner,18.64864864864865,1299.0,70.0,104.90196078431373,5.0,Ford
2014,501000,68000,Diesel,Dealer,Manual,First Owner,27.59036144578313,1248.0,74.0,190.0,5.0,Maruti
2015,430000,97000,Diesel,Individual,Manual,Second Owner,31.084337349397593,1498.0,98.6,200.0,5.0,Honda
2010,125000,120000,Petrol,Individual,Manual,Third Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2014,530000,90000,Diesel,Individual,Manual,First Owner,27.59036144578313,1248.0,74.0,190.0,5.0,Maruti
2012,300000,80000,Diesel,Individual,Manual,First Owner,,,,,,Toyota
2009,180000,144000,Diesel,Individual,Manual,Second Owner,23.253012048192772,1248.0,73.9,190.0,5.0,Maruti
2019,900000,8079,Diesel,Dealer,Manual,First Owner,29.759036144578314,1047.0,69.0,140.0,5.0,Tata
2013,750000,80000,Diesel,Individual,Manual,Second Owner,15.650602409638555,2494.0,100.6,200.0,7.0,Toyota
2015,650000,94000,Diesel,Individual,Manual,Second Owner,29.518072289156628,1498.0,98.6,200.0,7.0,Honda
2011,229999,110000,Diesel,Individual,Manual,Second Owner,22.650602409638555,1248.0,90.0,200.0,5.0,Tata
2006,80000,110000,Diesel,Individual,Manual,Second Owner,25.060240963855424,1527.0,58.0,96.0,5.0,Maruti
2008,80000,70000,Petrol,Individual,Manual,Second Owner,20.62162162162162,1150.0,74.9,110.0,5.0,Chevrolet
2012,1225000,160000,Diesel,Individual,Automatic,First Owner,13.855421686746988,2982.0,169.0,343.0,7.0,Toyota
2018,565000,19000,Petrol,Individual,Manual,First Owner,25.37837837837838,999.0,75.0,95.0,5.0,Volkswagen
2005,95000,50000,Diesel,Individual,Manual,Second Owner,,,,,,Tata
2013,350000,120000,Diesel,Individual,Manual,First Owner,26.072289156626507,1461.0,84.8,200.0,5.0,Nissan
2010,300000,100000,Diesel,Individual,Manual,First Owner,13.93975903614458,2179.0,138.1,320.0,7.0,Tata
2018,650000,21000,Diesel,Individual,Manual,First Owner,31.12048192771084,1498.0,99.0,215.0,5.0,Ford
2017,850000,35000,Diesel,Individual,Manual,Third Owner,26.506024096385545,1582.0,126.2,259.87,5.0,Hyundai
2012,335000,45000,Petrol,Individual,Manual,First Owner,25.0,1197.0,82.85,113.7,5.0,Hyundai
2016,350000,120000,Diesel,Individual,Manual,Third Owner,27.951807228915662,1248.0,73.94,190.0,5.0,Maruti
2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,25.675675675675677,1199.0,88.76,110.0,5.0,Honda
2015,965000,60000,Diesel,Individual,Manual,First Owner,23.698795180722893,1582.0,126.2,259.9,5.0,Hyundai
2010,421000,120000,Diesel,Individual,Manual,Second Owner,16.3855421686747,2523.0,63.0,180.0,7.0,Mahindra
2018,400000,25000,Petrol,Individual,Automatic,First Owner,32.486486486486484,999.0,67.0,91.0,5.0,Renault
2017,1100000,20000,Diesel,Individual,Manual,First Owner,16.987951807228917,2179.0,147.94,320.0,7.0,Tata
2016,670000,50478,Petrol,Individual,Manual,First Owner,21.41891891891892,1499.0,110.4,140.0,5.0,Ford
2015,900000,125000,Diesel,Individual,Manual,First Owner,15.650602409638555,2494.0,100.6,200.0,7.0,Toyota
2018,1150000,44000,Diesel,Individual,Automatic,First Owner,20.493975903614462,1582.0,126.2,259.9,5.0,Hyundai
2013,240000,100000,Diesel,Individual,Manual,First Owner,24.096385542168676,1399.0,68.1,160.0,5.0,Ford
2011,290000,88000,Diesel,Individual,Manual,Third Owner,19.903614457831324,1991.0,123.7,305.0,5.0,Chevrolet
2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,20.24096385542169,1984.0,150.0,350.0,5.0,Volvo
2014,700000,102000,Diesel,Dealer,Manual,First Owner,29.156626506024097,1498.0,93.87,225.0,7.0,Maruti
2007,160000,74800,Petrol,Individual,Manual,Second Owner,24.594594594594593,998.0,67.1,90.0,5.0,Maruti
2012,215000,90000,Petrol,Individual,Manual,Third Owner,26.62162162162162,796.0,46.3,62.0,5.0,Maruti
2016,800000,79500,Diesel,Individual,Manual,First Owner,18.55421686746988,2179.0,120.0,280.0,7.0,Mahindra
2017,700000,70000,Diesel,Individual,Manual,First Owner,27.156626506024097,1396.0,88.73,219.7,5.0,Hyundai
2017,490000,80000,Petrol,Individual,Manual,First Owner,24.054054054054056,1198.0,86.7,109.0,5.0,Honda
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,30.22972972972973,2487.0,214.56,202.0,5.0,Lexus
2010,185000,70000,Diesel,Individual,Manual,Second Owner,13.93975903614458,2179.0,138.1,320.0,7.0,Tata
2007,45000,80000,Petrol,Individual,Manual,First Owner,21.756756756756758,796.0,37.0,59.0,4.0,Maruti
2000,200000,100000,Diesel,Individual,Manual,First Owner,,,,,,Toyota
2014,378000,80000,Petrol,Individual,Manual,First Owner,25.54054054054054,1197.0,82.0,114.0,5.0,Hyundai
2018,440000,17000,Petrol,Individual,Manual,First Owner,27.716216216216218,998.0,67.04,90.0,5.0,Maruti
2015,270000,49900,Petrol,Individual,Manual,Second Owner,30.729729729729726,796.0,47.3,69.0,5.0,Maruti
2015,620000,40000,Diesel,Individual,Automatic,First Owner,22.277108433734938,1493.0,100.0,240.0,7.0,Mahindra
2018,750000,40000,Petrol,Individual,Manual,First Owner,28.013513513513516,1373.0,91.1,130.0,5.0,Maruti
2018,451999,30000,Petrol,Individual,Automatic,Second Owner,31.216216216216218,998.0,67.04,90.0,5.0,Maruti
2018,380000,5000,Petrol,Individual,Manual,First Owner,31.094594594594597,999.0,67.0,91.0,5.0,Renault
2012,195000,35000,Petrol,Individual,Manual,Second Owner,25.675675675675677,998.0,67.1,90.0,5.0,Maruti
2011,210000,175000,Diesel,Individual,Manual,Second Owner,28.397590361445786,1396.0,70.0,140.0,5.0,Tata
2013,950000,49700,Diesel,Individual,Manual,First Owner,18.19277108433735,2179.0,140.0,330.0,7.0,Mahindra
2009,90000,120000,Diesel,Individual,Manual,Second Owner,21.542168674698797,1396.0,52.8,85.0,5.0,Tata
2012,275000,93000,Petrol,Individual,Manual,Second Owner,22.972972972972972,1197.0,80.0,111.76470588235296,5.0,Hyundai
2008,210000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.903614457831324,1991.0,123.7,305.0,5.0,Chevrolet
2011,350000,116500,Diesel,Individual,Manual,First Owner,27.710843373493976,1396.0,90.0,219.6078431372549,5.0,Hyundai
2000,95000,120000,Diesel,Individual,Manual,Fourth & Above Owner,14.698795180722891,1948.0,68.0,117.64705882352942,10.0,Tata
2016,900000,98000,Diesel,Individual,Manual,First Owner,23.698795180722893,1582.0,126.2,259.9,5.0,Hyundai
2012,300000,64000,Diesel,Individual,Manual,Second Owner,21.44578313253012,1399.0,67.0,160.0,5.0,Ford
2018,358000,44000,Petrol,Individual,Manual,First Owner,20.77027027027027,1196.0,73.0,101.0,7.0,Maruti
2011,750000,291000,Diesel,Individual,Manual,Second Owner,15.421686746987953,2494.0,102.0,200.0,7.0,Toyota
2016,725000,30000,Diesel,Individual,Manual,First Owner,26.144578313253014,1498.0,98.96,215.0,5.0,Ford
2020,500000,40000,Petrol,Individual,Manual,First Owner,23.743243243243246,1193.0,88.7,140.0,5.0,Tata
2012,229999,186000,Diesel,Individual,Manual,First Owner,28.397590361445786,1396.0,70.0,140.0,5.0,Tata
2017,990000,20000,Petrol,Individual,Automatic,First Owner,22.972972972972972,1591.0,121.3,151.0,5.0,Hyundai
2012,225000,60000,Diesel,Individual,Manual,First Owner,24.096385542168676,1399.0,68.0,160.0,5.0,Ford
2013,240000,142000,Diesel,Individual,Manual,Second Owner,27.951807228915662,1248.0,73.94,190.0,5.0,Maruti
2018,740000,38817,Diesel,Dealer,Manual,First Owner,33.0,1248.0,74.0,190.0,5.0,Maruti
2019,3800000,20000,Diesel,Individual,Automatic,First Owner,21.686746987951807,1969.0,190.0,400.0,5.0,Volvo
2010,730000,55000,Petrol,Individual,Automatic,Second Owner,16.62162162162162,1781.0,163.2,224.50980392156862,5.0,Audi
2017,800000,60000,Diesel,Individual,Manual,First Owner,28.49397590361446,1248.0,88.5,200.0,5.0,Maruti
2010,180000,55000,Petrol,Individual,Manual,Second Owner,26.77027027027027,1086.0,68.05,99.04,5.0,Hyundai
2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,16.3855421686747,1999.0,177.0,430.0,5.0,Jaguar
1999,150000,198000,Diesel,Individual,Manual,Second Owner,17.83132530120482,1998.0,68.0,122.54901960784315,5.0,Mitsubishi
2011,45000,10000,Petrol,Individual,Manual,Third Owner,35.13513513513514,624.0,35.0,48.0,4.0,Tata
2009,135000,28900,Petrol,Individual,Manual,Second Owner,,1172.0,65.0,96.07843137254903,5.0,Tata
2015,600000,35000,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.83,114.7,5.0,Hyundai
2011,225000,57000,Diesel,Individual,Manual,Second Owner,25.30120481927711,1461.0,64.1,160.0,5.0,Mahindra
2008,150000,120000,Diesel,Individual,Manual,First Owner,14.698795180722891,1948.0,68.0,115.0,9.0,Tata
2015,600000,60000,Diesel,Individual,Manual,Second Owner,16.253012048192772,2179.0,138.03,320.0,5.0,Tata
2016,470000,10000,Petrol,Individual,Manual,First Owner,25.54054054054054,1197.0,82.0,114.0,5.0,Hyundai
2017,415000,15000,Petrol,Individual,Manual,First Owner,23.743243243243246,1193.0,88.7,140.0,5.0,Tata
2014,325000,65204,Petrol,Trustmark Dealer,Automatic,First Owner,31.216216216216218,998.0,67.04,90.0,5.0,Maruti
2006,125000,200000,Petrol,Individual,Automatic,Third Owner,17.7027027027027,1997.0,141.1,190.0,5.0,Honda
2011,339000,42535,Petrol,Dealer,Manual,First Owner,22.56756756756757,1198.0,88.8,110.0,5.0,Honda
2014,750000,50000,Diesel,Individual,Manual,First Owner,15.650602409638555,2494.0,100.6,200.0,7.0,Toyota
2018,1200000,50000,Diesel,Individual,Manual,First Owner,20.843373493975907,1497.0,121.0,300.0,7.0,Mahindra
2018,899000,35000,Diesel,Individual,Manual,First Owner,30.24096385542169,1248.0,88.5,200.0,5.0,Maruti
2011,280000,131000,Diesel,Individual,Manual,Fourth & Above Owner,24.746987951807228,1598.0,103.6,250.0,5.0,Volkswagen
2016,500000,30000,Diesel,Individual,Manual,First Owner,32.89156626506024,1498.0,98.6,200.0,5.0,Honda
2016,490000,26000,Petrol,Individual,Manual,First Owner,25.54054054054054,1197.0,82.0,114.0,5.0,Hyundai
2009,240000,70000,Petrol,Individual,Manual,First Owner,18.243243243243242,1799.0,130.0,172.0,5.0,Honda
2011,235000,100000,Diesel,Individual,Manual,Second Owner,27.59036144578313,1248.0,74.0,190.0,5.0,Maruti
2018,650000,10000,Petrol,Individual,Automatic,Second Owner,25.54054054054054,1197.0,81.86,113.75,5.0,Hyundai
2007,70000,110000,Diesel,Individual,Manual,Second Owner,20.722891566265062,1396.0,53.5,83.33333333333334,5.0,Tata
2018,340000,120000,Petrol,Individual,Manual,First Owner,27.432432432432435,998.0,68.05,94.14,5.0,Hyundai
2018,3200000,35000,Diesel,Individual,Automatic,First Owner,13.144578313253012,3198.0,197.0,470.0,7.0,Ford
2017,450000,56290,Diesel,Dealer,Manual,First Owner,28.91566265060241,1186.0,73.97,190.24,5.0,Hyundai
2015,490000,60000,Diesel,Individual,Manual,First Owner,30.36144578313253,1248.0,74.0,190.0,5.0,Maruti
2013,325000,178000,Diesel,Individual,Manual,First Owner,19.228915662650603,2523.0,63.0,180.0,9.0,Mahindra
2018,710000,42000,Petrol,Individual,Manual,First Owner,25.135135135135137,1197.0,81.83,114.7,5.0,Hyundai
2012,200000,104500,Diesel,Individual,Manual,Second Owner,24.096385542168676,1399.0,68.0,160.0,5.0,Ford
2015,350000,60000,Petrol,Individual,Manual,Third Owner,21.35135135135135,1172.0,67.1,96.0,5.0,Fiat
2018,350000,25000,Petrol,Individual,Manual,First Owner,31.094594594594597,999.0,67.0,91.0,5.0,Renault
2015,320000,50000,Petrol,Individual,Manual,Second Owner,27.716216216216218,998.0,67.04,90.0,5.0,Maruti
2010,90000,70000,Petrol,Individual,Manual,Second Owner,24.324324324324326,995.0,62.0,90.3,5.0,Chevrolet
2016,220000,46702,Petrol,Dealer,Manual,First Owner,22.702702702702705,796.0,34.2,59.0,8.0,Maruti
2013,550000,38000,Diesel,Individual,Manual,First Owner,26.590361445783135,1199.0,73.9,180.0,5.0,Volkswagen
2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,20.21686746987952,1995.0,190.0,400.0,5.0,BMW
2019,700000,3177,Petrol,Dealer,Manual,First Owner,25.0,1194.0,94.93,119.0,5.0,Ford
2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,22.675675675675677,1496.0,88.73,132.0,5.0,Toyota
2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,25.89189189189189,2494.0,157.7,213.0,5.0,Toyota
2017,765000,40000,Petrol,Individual,Manual,First Owner,23.64864864864865,1373.0,91.1,130.0,7.0,Maruti
2007,280000,160000,Diesel,Individual,Manual,Second Owner,16.783132530120483,2956.0,138.1,320.0,7.0,Tata
2017,950000,20000,Petrol,Individual,Manual,First Owner,22.972972972972972,1591.0,121.3,151.0,5.0,Hyundai
2009,155000,110000,Diesel,Individual,Manual,Third Owner,21.325301204819276,1399.0,68.0,156.86274509803923,5.0,Ford
2011,325000,53287,Petrol,Dealer,Manual,First Owner,,,,,,Ford
2012,730000,250000,Diesel,Individual,Manual,First Owner,15.650602409638555,2494.0,100.0,200.0,7.0,Toyota
2003,45000,58000,Petrol,Individual,Manual,First Owner,21.756756756756758,796.0,37.0,59.0,4.0,Maruti
2018,299000,33000,Petrol,Individual,Manual,First Owner,28.513513513513516,814.0,55.2,74.5,5.0,Hyundai
2018,720000,25000,Petrol,Individual,Manual,First Owner,28.013513513513516,1373.0,91.1,130.0,5.0,Maruti
2015,440000,30000,Petrol,Individual,Manual,First Owner,27.567567567567565,1197.0,81.8,113.0,5.0,Maruti
2016,515000,68609,Diesel,Dealer,Manual,First Owner,27.349397590361445,1498.0,89.84,204.0,5.0,Ford
2016,434999,10000,Petrol,Dealer,Automatic,First Owner,31.216216216216218,998.0,67.04,90.0,5.0,Maruti
1983,300000,10000,Diesel,Individual,Manual,Third Owner,,,,,,Mahindra
2012,280000,105358,Diesel,Individual,Manual,Third Owner,21.44578313253012,1399.0,67.0,160.0,5.0,Ford
2019,570000,19000,Petrol,Individual,Automatic,Second Owner,28.22972972972973,1197.0,81.8,113.0,5.0,Maruti
